"global_turn_id";"query";"target_answer";"alex_answer";"step_text";"recipe_title";"is_ingredient_list";"gpt-3"
"54_13";"how much herb mixture do I need to put on the in the bowl?";"1 teaspoon.";"Put 1 teaspoon of herb mixture in the bowl.";"Transfer eetch to a serving platter or bowl, top with remaining tomatoes, sprinkle with 1 teaspoon of herb mixture and remaining 1/4 teaspoon Aleppo pepper. Serve, passing remaining herb mixture, Aleppo pepper, lettuce leaves, and lavash at the table.";"Eetch (Armenian Bulgur, Tomato, and Herb Salad)";"False";"To put on the bowl, you need 1 teaspoon of the herb mixture."
"70_21";"where do I put ingredients Alexa?";"pan.";"Put the batter into the pan.";"Scrape remaining batter into pan, making sure to leave 1/4 inch space from top; gently tap pan to knock out air pockets and distribute batter.";"Gâteau Invisible (Invisible Apple Cake) Recipe";"False";"Scrape the batter into a pan, leaving 1/4 inch of space at the top, and then tap the pan to remove any air pockets and spread the batter evenly."
"69_3";"should I leave it for an hour?";"30 minutes to 1 hour.";"Leave it unitl peppers are fully softened. This might take 30 minutes to 1 hour.";"For the Sofrito: Place dried peppers (if using) in a medium heatproof bowl and cover with boiling water (if not using, skip to Step 3). Place a weight or wet paper towel on top to help submerge the peppers. Let stand until peppers are fully softened, 30 minutes to 1 hour. If the peppers are very stubborn (as thick-skinned ñoras can be), you may need to tear a small hole in them to let water penetrate inside.";"Stovetop Paella Mixta for Two With Chicken and Shrimp Recipe";"False";"Let the peppers soak for 30 minutes to 1 hour."
"70_27";"which ingredient do I need to use?";"cream.";"In this step, you need to add cream.";"Immediately add cream and reduce heat to medium-low.";"Gâteau Invisible (Invisible Apple Cake) Recipe";"False";"Add cream and reduce heat to medium-low."
"80_13";"what comes after tomatoes?";"cucumber.";"After the tomatoes, you need to stuff some cucumber into the pita.";"Serve immediately with tahini and/or hummus on the side, or stuffed into pita bread with tahini, tomatoes, cucumber, pickles, and shredded cabbage.";"Easy, Herb-Packed Falafel Recipe";"False";"Cucumber comes after tomatoes when serving tahini and/or hummus on the side, or stuffed into pita bread with tahini, tomatoes, cucumber, pickles, and shredded cabbage."
"9_9";"what do I use to strain the gravy?";"fine-mesh strainer.";"For straining the gravy, it is recommended to use a fine-mesh strainer.";"For the Gravy: Using a cleaver, chop breastbone into 1-inch chunks. In a medium saucepan over high heat, heat oil until smoking. Add breastbone, onion, carrot, and celery and cook, stirring occasionally, until well browned, about 10 minutes total. Add stock, bay leaves, and soy sauce. Bring to a boil, then reduce to a simmer. Simmer for 1 hour, then strain through a fine-mesh strainer. You should have a little over 1 quart (900ml) of fortified stock; if not, add water or more chicken stock to equal 1 quart. Discard solids and set stock aside.";"Sous Vide Turkey Breast With Crispy Skin Recipe";"False";"To strain the gravy, use a fine-mesh strainer."
"37_3";"should I use white or brown sugar?";"light brown sugar.";"Best is to use light brown sugar.";"To make the dressing: Whisk together lime juice, fish sauce, sesame oil, sugar, and chili in a small bowl. Set aside.";"Thai Spicy Duck Salad Recipe";"True";"For the dressing, whisk together lime juice, fish sauce, sesame oil, light brown sugar, and chili in a small bowl."
"45_10";"how long can I store it in the fridge?";"1 day.";"In an airtight container, you can store it for up to 1 day.";"Divide salad between small individual serving bowls and serve. If not serving right away, salad can be refrigerated in an airtight container for up to 1 day; bring to room temperature before serving.";"Charred Brussels Sprouts and Leek Muchim With Coffee-Dijon Dressing Recipe";"False";"The salad can be stored in the refrigerator in an airtight container for up to 1 day."
"20_18";"what is it that I need to shake?";"pot.";"It's the pot you need to shake gently.";"Break crust with a spoon and shake pot gently to redistribute. Return to oven and continue cooking, stopping to break and shake the crust every 30 minutes until you reach the 4 1/2 hour mark. Return to oven and continue cooking undisturbed until the crust is deep brown and thick, about 5 to 6 hours total. Serve immediately.";"Traditional French Cassoulet Recipe";"False";"Break the crust with a spoon and gently shake the pot to evenly redistribute the ingredients and then return to the oven. Repeat this process every 30 minutes until 4 1/2 hours of cooking time have passed. Continue cooking until the crust is deep brown and thick, for another 1/2 hour to 1 hour. Serve the dish immediately."
"3_18";"Alexa how long should I let it steep?";"for 10 minutes.";"Let the saffron steep for 10 minutes.";"Set oven rack at the middle position and heat the oven to 350°F (180°C). Place half the saffron threads in a mortar and pestle and grind to a fine powder. In a small saucepan placed over low heat, warm the milk just until it starts to bubble, then turn off the heat. Add the ground saffron and remaining saffron strands to the hot milk and let steep for 10 minutes.";"Lamb Biryani With Saffron, Yogurt, and Caramelized Onions Recipe";"False";"To make saffron milk, heat the milk in a small saucepan over low heat until it starts to bubble, then turn off the heat. Add the ground saffron and remaining saffron strands to the hot milk and let it steep for 10 minutes."
"46_5";"what is in the bean mixture?";"1 pound 5 ounces (3 cups; 600g) cooked dry white beans (such as cannellini or great northern) or two (15-ounce; 425g) cans low-sodium white beans, drained and rinsed.";"The bean mixutre consists of 600g cooked dry white beans or 425g cans low-sodium white beans, drained and rinsed.";"Add beans and bean cooking liquid (if using cooked dry beans) or stock (if using canned beans), and, using a wooden spoon, crush roughly one-quarter of the beans against the sides and bottom of pan. Stir well, season lightly with salt, and bring to a simmer. Reduce heat to medium-low and cook, stirring occasionally, until bean mixture is thickened to a creamy, saucy consistency, 10 to 15 minutes.";"Pasta With Beans and Greens Recipe";"True";"The bean mixture consists of cooked dry white beans, or two cans of low-sodium white beans, as well as stock or bean cooking liquid, along with a light seasoning of salt."
"17_2";"what spices do I need for the recipe?";"1 1/2 teaspoons whole cumin seeds, toasted 1 1/2 teaspoons coriander seeds, toasted 1 whole star anise, toasted 2 cloves 1/2 teaspoon black peppercorns, toasted 1/2 teaspoon ground cinnamon 1/4 teaspoon grated nutmeg 1 blade mace 1/2 teaspoon ground turmeric 1 black or green cardamom pod.";"For this recipe, you will need cumin seeds, coriander seeds, star anise, black peppercorns, ground cinnamon, grated nutmeg, mace, ground turmeric and a black or green cardamom pod.";"Combine cumin, coriander, star anise, cloves, peppercorns, cinnamon, nutmeg, mace, turmeric, and cardamom in a spice grinder and grind to a fine powder. Set aside.";"Chickpea, Coconut, and Cashew Curry Recipe";"False";"To make the recipe, you will need to grind together cumin, coriander, star anise, cloves, peppercorns, cinnamon, nutmeg, mace, turmeric, and cardamom into a fine powder."
"85_4";"do I mix it by hand?";"mixer.";"That's quite strenuous. Use the stand mixer instead.";"Turn stand mixer up to medium-high speed and mix until the dough feels elastic and bounces partway back when indented with your thumb, about 3-5 minutes. If mixing by hand, skip this step.";"Simple Crusty White Bread Recipe";"False";"No, you do not mix it by hand."
"45_6";"what should I shake?";"pan.";"Shake the pan after you added the brussels sprouts leaves.";"In a large cast iron or carbon steel skillet, heat oil over high heat until just smoking. Carefully add Brussels sprouts leaves to the pan, spreading them into as even a layer as possible. Cook, stirring and shaking the pan occasionally, until leaves are charred in spots and bright green, 2 to 3 minutes. Working quickly, transfer Brussels sprouts to a rimmed baking sheet or large plate, spread in an even single layer, and set aside to cool to room temperature, about 5 minutes.";"Charred Brussels Sprouts and Leek Muchim With Coffee-Dijon Dressing Recipe";"False";"Shake the pan to cook the Brussels sprouts until charred in spots and bright green."
"60_11";"how long will the mixture take to brown?";"about 10 minutes.";"It will take about 10 minutes for the mixture to brown.";"Meanwhile, Make the Mushroom Filling: In a large 12-inch stainless steel or cast iron skillet, heat oil over medium-high heat until shimmering. Add mushrooms, season with salt and pepper, and cook, stirring frequently with a wooden spoon, until moisture has evaporated and mushrooms are well browned, about 10 minutes. Push mushrooms to outer edge of skillet, add kale to now-empty center of skillet, and cook, stirring frequently, until kale is slightly wilted and softened and has mixed with mushrooms, about 3 minutes.";"Thanksgiving Stuffed Roast Pumpkins Recipe";"False";"It will take approximately 10 minutes for the mixture to brown."
"59_2";"what sauce do I need two teaspoons of?";"fish.";"You need 2 teaspoons fish sauce.";"Combine beef, 1 teaspoon soy sauce, 2 teaspoons fish sauce, and white sugar in a bowl. Toss to combine and set in refrigerator to marinate for at least 15 minutes and up to overnight.";"Thai-Style Beef With Basil and Chilies (Phat Bai Horapha) Recipe";"False";"For marinating beef, you need two teaspoons of fish sauce."
"87_6";"what do I transfer them into a?";"large bowl.";"After grating the Brussels sprout, transfer them to a large bowl.";"Place 1/4 of mushrooms in the bowl of a food processor. Pulse until roughly chopped, 6 to 8 short pulses. Transfer to a large bowl and set aside. Repeat with remaining three batches of mushrooms. Fit food processor with grater attachment and grate all of the Brussels sprouts. Transfer to a large bowl and set aside.";"Creamy Brussels Sprout and Mushroom Lasagna Recipe";"False";"Transfer the chopped mushrooms and grated Brussels sprouts to a large bowl."
"14_12";"what should I brush the rum over if the sugar is all dissolved?";"sugar.";"Rum needs to be brushed over any undissolved pockets of sugar.";"Bake until pie is quite juicy, about 20 minutes, then pause to brush rum over any undissolved pockets of sugar. (If sugar is well dissolved, just brush it over the sugar anyway.) Continue baking until golden brown around the edges and bubbling in the center, about 15 minutes longer. Let cool 5 minutes, then slice into wedges and serve warm, with a side of whipped cream if desired.";"Freeform Peach Pie (Galette) Recipe";"False";"Brush the rum over the sugar, even if it is already dissolved."
"83_2";"what do I need to combine with the soy sauce and sesame oil?";"vinegar.";"You need to combine rice vinegar with soy sauce and sesame oil.";"For the Dipping Sauce: Combine soy sauce, rice vinegar, and sesame oil in a small bowl and stir briefly to combine. Set aside.";"Easy Vegetable Pancakes Recipe";"False";"To make the Dipping Sauce, mix together soy sauce, rice vinegar, and sesame oil in a bowl."
"88_18";"Alexa what should I use to garnish the cake before putting it in the oven?";"egg wash.";"The cake needs to be brushed with an egg wash.";"Pinch dough around the edge of the gata between the index finger of one hand and thumb and index finger of the other hand to form decorative points, spaced about 1 inch apart. Brush top and sides of gata evenly with egg wash. Using a fork, drag flat underside of fork across top of gata to form grooved lines in a crisscross pattern, spaced about 1 inch apart. Using a toothpick, poke 8 to 10 evenly spaced holes in top of dough, stopping when you reach the filling. Bake until evenly golden brown, 28 to 35 minutes, rotating baking sheet after 20 minutes.";"Gata (Armenian Coffee Cake)";"False";"Brush the top and sides of the cake with an egg wash, and use a fork to drag across the top of the cake in a crisscross pattern. Finish by poking 8 to 10 evenly spaced holes in the top of the cake with a toothpick."
"38_14";"so I have put the rice in what do I want to be coated in oil?";"rice.";"In fact, it is also the rice that needs to be coated in oil.";"Add rice and cook, stirring, until rice is evenly coated in oil and toasted but not browned, 3 to 4 minutes. (Rice grains should start to look like tiny ice cubes: translucent around the edges and cloudy in the center.)";"Pressure Cooker Butternut Squash Risotto With Frizzled Sage and Brown Butter Recipe";"False";"Cook the rice, stirring, until it is lightly coated in oil and toasted, 3 to 4 minutes."
"62_2";"I need soy sauce, sesame oil and what other liquid?";"vinegar.";"The other liquid you'll need here is rice vinegar.";"For the Dipping Sauce: Combine soy sauce, rice vinegar, and sesame oil in a small bowl and stir briefly to combine. Set aside.";"Easy Vegetable Pancakes Recipe";"False";"For the Dipping Sauce: Combine soy sauce, rice vinegar, and sesame oil."
"15_2";"What utensil do I use to prick the chicken??";"fork.";"Please use a fork to prick the chicken.";"To Marinate the Chicken: Pat the chicken dry with paper towels. Using a sharp knife, score the top side of the chicken thighs 2 or 3 times, then prick all over with a fork. Place the chicken in a baking dish, ziptop bag, or a food-safe storage container with a lid.";"Yogurt- and Mint-Marinated Chicken Thighs With Pickled Nectarines Recipe";"False";"You should use a fork to prick the chicken."
"32_3";"how long do I marinate the sauce for?";"15 minutes.";"Marinate the sauce for at least 15 minutes.";"Combine beef, 1 teaspoon soy sauce, 2 teaspoons fish sauce, and white sugar in a bowl. Toss to combine and set in refrigerator to marinate for at least 15 minutes and up to overnight.";"Thai-Style Beef With Basil and Chilies (Phat Bai Horapha) Recipe";"False";"Marinate the beef mixture for at least 15 minutes and up to overnight."
"91_4";"how much garlic is needed?";"4 medium cloves.";"Here you need 4 medium cloves.";"In a 5-quart pot, combine 1/4 cup (60ml) olive oil, garlic, pepper flakes, and 1 tablespoon minced parsley. Set over medium heat and cook, stirring frequently, until very fragrant and garlic is just beginning to turn the lightest shade of gold, about 3 minutes.";"Roman-Style Spaghetti Alla Carrettiera (Tomato, Tuna, and Mushroom Pasta) Recipe";"True";"4 medium cloves of garlic should be added to a 5-quart pot with 1/4 cup (60ml) olive oil, pepper flakes, and 1 tablespoon minced parsley before cooking over medium heat for 3 minutes."
"48_7";"where do I push my rice to?";"side of the wok.";"You push the rice to the side of the wok.";"Push rice to the side of the wok and add remaining 1/2 tablespoon (7ml) oil. Break the egg into the oil and season with a little salt. Use a spatula to scramble the egg, breaking it up into small bits. Toss the egg and the rice together.";"Easy Fried Rice Recipe";"False";"Use a spatula to push the cooked rice to the side of the wok and add the remaining 1/2 tablespoon (7ml) oil. Break the egg into the oil and season with a little salt. Use the spatula to scramble the egg, breaking it up into small bits. Then, toss the egg and the rice together."
"92_20";"how long should I leave the oven door ajar?";"10 minutes.";"Leave the door ajar for 10 minutes.";"Turn off the oven, open the door, and let it stand ajar 10 minutes. Close the door and set the oven to 250°F. Continue baking until the outer edge of the cheesecake feels firm, though the innermost ring of cheesecake will wobble quite freely if you shake the pan, about 35 minutes. This wobbly zone should be no more than 3-inches across. The cheesecake will be done when the very center registers 145°F on a digital thermometer inserted to a depth of 2-inches. Testing with a thermometer will not cause the cheesecake to crack; cracking is the result of over-baking and nothing more.";"Epic New York Cheesecake From BraveTart Recipe";"False";"The oven door should be left ajar for 10 minutes after turning off the oven before setting it to 250°F and continuing to bake until the outer edge of the cheesecake feels firm and the innermost ring of cheesecake wobbles no more than 3-inches across, which should take about 35 minutes. The cheesecake is done when the very center registers 145°F on a digital thermometer inserted to a depth of 2-inches."
"64_3";"Alexa how long should I let the meal stand for?";"30 minutes.";"Let the meal stand for 30 minutes.";"For the Chili Gravy: Heat a heavy 12-inch cast iron skillet over medium heat. Cut all the chilies open along one side, so that they can be laid flat. Working in batches, cook chilies in the skillet, pressing down with a spatula, until lightly toasted and fragrant, about 5 seconds on each side; be careful not to let chilies burn. Transfer to a large bowl and cover chilies with hot water, setting a small plate on top to keep them submerged. Let stand 30 minutes.";"Tex-Mex Cheese Enchiladas With Red Chili Gravy Recipe";"False";"Allow the chilies to soak in hot water for 30 minutes before cooking."
"34_28";"which leaves do I top off the dish with?";"sage.";"Top the dish with fried sage leaves.";"Stir in a generous grating of Parmesan cheese, followed by the maple-roasted diced squash. Season with salt. Spoon risotto onto plates, top with fried sage leaves and more grated cheese, and serve.";"Pressure Cooker Butternut Squash Risotto With Frizzled Sage and Brown Butter Recipe";"False";"Top the dish with fried sage leaves."
"7_9";"what do I add along with the vanilla extract?";"butter.";"Along with the vanilla extract, you need to add butter.";"For the Filling: In a medium bowl, stir together walnuts, flour, sugar, and salt. Add butter and vanilla extract and, using a rubber spatula, stir until clumpy paste forms and no dry flour remains, about 30 seconds. Cover and store at room temperature until ready to assemble.";"Gata (Armenian Coffee Cake)";"False";"For the Filling: In a medium bowl, stir together walnuts, flour, sugar, and salt. Add butter and vanilla extract together and, using a rubber spatula, stir until a clumpy paste forms and no dry flour remains, about 30 seconds. Cover and store at room temperature until ready to assemble."
"62_5";"what is the first ingredient?";"flour.";"The first ingredient you use for making pancakes is all-purpose flour.";"For the Pancakes: In a large bowl, whisk together all-purpose flour, whole wheat flour (or other flour), 1/2 teaspoon of salt, and baking powder until well-combined, about 30 seconds. Set aside.";"Easy Vegetable Pancakes Recipe";"False";"The first ingredient for the pancakes is flour."
"47_14";"what ingredients go in the Bowl along with the sliced onion?";"garlic, vinegar, black pepper, salt, and sugar.";"Along with the sliced onion, you need to add garlic, vinegar, black pepper, salt, and sugar.";"For the Kilawin: In a large bowl, add half of the sliced onion, garlic, vinegar, black pepper, salt, and sugar, and stir until sugar and salt have fully dissolved. Add pork and toss to evenly coat with dressing.";"Kilawin: Grilled Pork, Punchy Sauce, Can't Lose";"False";"For the Kilawin, a bowl should contain half a sliced onion, garlic, vinegar, black pepper, salt, and sugar."
"41_18";"how much of the breadcrumbs should I add?";"30g.";"You should add half of the breadcrumbs, i.e., 30g.";"Remove from heat, add half of the breadcrumbs (1/4 cup; 30g), and toss to combine. Pasta should be well-coated but not swimming in sauce (the sauce will continue to tighten up in the time it takes to plate and serve). Adjust sauce consistency as needed with more pasta water if it seems too dry. Divide pasta between individual serving bowls, sprinkle with remaining breadcrumbs, and serve right away.";"Pasta chi Vruoccoli Arriminati (Sicilian Pasta With Cauliflower and Toasted Breadcrumbs) Recipe";"False";"You should add 30g (1/4 cup) of the breadcrumbs."
"14_7";"what is the name of this wash that I am preparing called?";"egg.";"The ""wash"" you need to prepare here is made of eggs. It's called egg wash.";"For the Egg Wash: Whisk egg, egg yolk, cream, and salt in a small bowl. Brush over chilled dough in a thin, even layer (including under each flap). This will give the crust a glossy, golden sheen and help bind the pieces together.";"Freeform Peach Pie (Galette) Recipe";"False";"The egg wash."
"14_3";"what should I combine the peaches in?";"medium bowl.";"The peaches need to be combined in a medium bowl.";"For the Filling: Wash peaches (no need to peel) and cut into 1/2-inch slices. Measure out 18 ounces (3 cups; 510g) in a medium bowl. Enjoy any extras as a snack; do not use more or you will overcrowd the pie. Sprinkle tapioca starch over peaches and toss until well combined.";"Freeform Peach Pie (Galette) Recipe";"False";"Combine the sliced peaches in a medium bowl and toss with tapioca starch until well combined."
"34_16";"what do I add into the rice?";"wine.";"You add wine into the rice.";"Add wine and cook, stirring, until raw alcohol smell has cooked off and wine has almost fully evaporated, about 2 minutes.";"Pressure Cooker Butternut Squash Risotto With Frizzled Sage and Brown Butter Recipe";"False";"Cook the rice with wine until the raw alcohol smell has cooked off and the wine has almost fully evaporated, about 2 minutes."
"70_17";"what else do I need to stir these ingredients?";"large rubber spatula or wooden spoon.";"To stir the ingredients you could also use a large rubber spatula or a wooden spoon.";"Using a large rubber spatula or wooden spoon, stir apples into batter until evenly coated.";"Gâteau Invisible (Invisible Apple Cake) Recipe";"False";"You will need a wooden spoon to stir the ingredients."
"78_6";"what do I use to season?";"salt.";"You use salt for seasoning here.";"Run tomatoes under cold water, then remove and discard skins and seeds. Grate tomato flesh on largest holes of a box grater into a large heatproof mixing or serving bowl; it's okay if some slightly larger pieces of tomatoes remain. Add olive oil, basil, garlic, and red pepper flakes. Stir well and season with salt to taste. Set aside.";"Sicilian-Style Spaghetti Alla Carrettiera (Fresh Tomato and Garlic Sauce) Recipe";"False";"To season the tomatoes, add salt to taste."
"38_7";"okay Alexa what am I putting in the food processor?";"large squash chunks, apple, and garlic cloves.";"You put large squash chunks, apple, and garlic cloves in the food processor.";"Transfer large squash chunks, apple, and garlic cloves to a food processor, blender, or the container of a stick blender. Add miso and 1/4 cup (60ml) broth and blend until a smooth purée forms. Season with salt.";"Pressure Cooker Butternut Squash Risotto With Frizzled Sage and Brown Butter Recipe";"False";"Place the large squash chunks, apple and garlic cloves into the food processor, and blend until a smooth purée is formed. Add miso and 1/4 cup (60ml) broth, and season with salt."
"40_15";"what state is the mushrooms in?";"liquid.";"Once the mushrooms are added to the mixture, they are in a rather liquid state.";"Heat oil over high heat until lightly smoking. Add garlic, ginger, scallion whites, chives, and yacai (if using). Stir-fry until fragrant, about 30 seconds. Add chopped mushrooms and stir-fry to combine. Add fermented chili broad bean paste and stir until all the vegetables are well coated. Stir mushroom liquid mixture to incorporate cornstarch, then add to wok. Cook, stirring constantly, until lightly thickened and reduced, about 1 1/2 minutes. Add tofu and carefully fold in, trying not to break it.";"The Best Vegan Mapo Tofu Recipe";"False";"The mushrooms are in a liquid mixture."
"80_4";"what comes after the scallions?";"garlic, cumin, coriander, and salt.";"Apart from the scallions, you need to add garlic, cumin, coriander, and salt to the work bowl of the food processor.";"Combine chickpeas, herbs, scallions, garlic, cumin, coriander, and salt in the work bowl of a food processor. Pulse until chickpeas are very finely minced, stopping the food processor to scrape down the sides as necessary. A handful of the mixture squeezed into a ball should be able to barely hold together. If not, process a little more.";"Easy, Herb-Packed Falafel Recipe";"False";"Pulse the chickpeas, herbs, scallions, garlic, cumin, coriander, and salt until the chickpeas are very finely minced and the mixture can barely hold together in a ball."
"64_2";"Alexa what do I have to cook the Chili's in and press down with a spatula?";"skillet.";"Cook the chilies batch-wise in a skillet. Do this until they are lightly toasted and fragrant about 5 seconds.";"For the Chili Gravy: Heat a heavy 12-inch cast iron skillet over medium heat. Cut all the chilies open along one side, so that they can be laid flat. Working in batches, cook chilies in the skillet, pressing down with a spatula, until lightly toasted and fragrant, about 5 seconds on each side; be careful not to let chilies burn. Transfer to a large bowl and cover chilies with hot water, setting a small plate on top to keep them submerged. Let stand 30 minutes.";"Tex-Mex Cheese Enchiladas With Red Chili Gravy Recipe";"False";"For the Chili Gravy, you will need to use a heavy 12-inch cast iron skillet and press down on the chilies with a spatula while toasting them."
"32_7";"what do i add once the wok is smoking?";"half of beef.";"Once the wok is smoking, add half of beef to the wok.";"When ready to cook, heat 1 tablespoon oil in a wok over high heat until smoking. Add half of beef and cook, without moving, until well seared, about 1 minute. Continue cooking, while stirring and tossing, until beef is lightly cooked but still pink in spots, about 1 minute. Transfer to a large bowl. Repeat with 1 more tablespoon oil and remaining beef, transferring beef to the same bowl. Wipe out wok.";"Thai-Style Beef With Basil and Chilies (Phat Bai Horapha) Recipe";"False";"Once the wok is smoking, add half of the beef to the wok and cook until it is lightly cooked but still pink in spots."
"22_23";"what should become lightly charred and crispy?";"rice and potatoes.";"The rice and potatoes should become lightly charred and crispy by broiling them.";"Roast tomatoes until they are very tender and rice is cooked through, 25 to 30 minutes. Turn oven to broil, remove tops from tomatoes (keeping them in baking dish) to expose rice, and broil until rice and potatoes are lightly charred and crispy, 5 to 7 minutes (keep a close eye as broiler intensity can vary significantly from one oven to the next). Remove baking dish from oven, and let cool for at least 10 minutes. Serve warm or at room temperature.";"Roman Rice-Stuffed Tomatoes (Pomodori al Riso) Recipe";"False";"Rice and potatoes should be lightly charred and crispy."
"73_2";"what should I drizzle 1 tbsp of oil on?";"chicken.";"The chicken needs to be drizzled with 1 tablespoon oil.";"Place oven rack in upper-middle position and preheat oven to 500°F (260°C). Using sharp kitchen shears, remove backbone from chicken and cut spine into 5 to 6 one-inch-long pieces. Set backbone aside. Flatten chicken by placing skin side up on a cutting board and applying firm pressure to breastbone. Transfer to a wire rack set in a foil-lined rimmed baking sheet. Position chicken so that breasts are aligned with center of baking sheet and legs are close to edge. Drizzle chicken with 1 tablespoon (15ml) oil.";"Spatchcocked (Butterflied) Roast Chicken Recipe";"False";"Drizzle 1 tablespoon (15ml) of oil over the chicken on a wire rack set in a foil-lined rimmed baking sheet."
"31_16";"what should I transfer the seeds into?";"bowl.";"Both sunflower seeds and pumpkin seeds need to be transferred to the work bowl of the food processor.";"Process dried beans and mushroom mixture until roughly chopped, scraping down sides with a rubber spatula as necessary, 8 to 10 short pulses. Transfer to bowl with cashews. Transfer sunflower seeds and pumpkin seeds to work bowl of the food processor and pulse until roughly chopped, scraping down sides with a rubber spatula as necessary, 8 to 10 short pulses. Transfer to bowl with bean/cashew mixture.";"Vegetables Wellington (The Ultimate Vegan Plant-Based Holiday Roast) Recipe";"False";"Transfer the sunflower and pumpkin seeds to a bowl."
"45_1";"what do I need to mix it in??";"large bowl.";"Everything needs to be mixed in a large bowl.";"In a large bowl, whisk together honey, sesame oil, coffee, fish sauce, cider vinegar, and garlic. Stir in sesame seeds and black pepper; set aside.";"Charred Brussels Sprouts and Leek Muchim With Coffee-Dijon Dressing Recipe";"False";"You will need a large bowl to mix together honey, sesame oil, coffee, fish sauce, cider vinegar, garlic, sesame seeds, and black pepper."
"38_25";"what am I mixing in with the cooking liquid?";"rice.";"Mix in rice and cooking liquid.";"Open pressure cooker and stir to combine rice and cooking liquid; it should begin to develop a creamy consistency. Stir in squash purée.";"Pressure Cooker Butternut Squash Risotto With Frizzled Sage and Brown Butter Recipe";"False";"I am mixing rice into the cooking liquid."
"12_7";"for how long do I need to set aside the piping bag?";"up to 24 hours.";"Set the piping bag aside until it's needed. This can take up to 24 hours.";"Prepare the Preserves: Cut the figs in half. Pulse with applesauce and orange juice in a food processor until roughly chopped, then process to a thick, smooth paste. Scrape the bowl and blade with a flexible spatula, then process a minute more to ensure absolutely no chunks remain. Transfer to a sturdy piping bag fitted with a 1/2-inch plain tip and set aside until needed, up to 24 hours. (The preserves can be refrigerated in an airtight container for up to 3 weeks; bring to room temperature before using.)";"Homemade Fig Newtons Recipe";"False";"24 hours"
"61_4";"which seasoning is required?";"salt and pepper.";"To season everything to taste, you need salt and pepper.";"Add tomato paste and stir until it is incorporated, about 30 seconds. Add 6 cups of water, bay leaves, Parmesan rind, zucchini, summer squash, green beans, spinach, and basil. Bring to a simmer and cook, stirring frequently, until the vegetables are fully tender, about 10 minutes. Season to taste with salt and pepper.";"Tuscan Ribollita With Summer Vegetables Recipe";"False";"Salt and pepper are needed to season the vegetables."
"5_8";"Alexa what do I toss and stir occasionally while cooking?";"potatoes.";"While you are cooking the potatoes, you should stir and toss them occasionally.";"When potatoes are drained, add 3 tablespoons oil to skillet and heat over medium-high heat until shimmering. Add drained potatoes and cook, stirring and tossing occasionally, until potatoes are deep brown and crisp on all sides, about 20 minutes total. Add cumin and paprilka and cook, stirring, until fragrant, about 30 seconds. Season to taste with salt and pepper. Transfer potatoes to bowl with chorizo and set aside.";"Crispy Potato, Chorizo, and Green Chili Hash With Avocado and Eggs Recipe";"False";"Cook potatoes over medium-high heat, stirring and tossing occasionally, until they are deep brown and crisp on all sides, about 20 minutes total."
"29_10";"what vegetable do I add next?";"frozen peas.";"The next thing to add are frozen peas.";"Add frozen peas and continue to toss and stir until peas are thawed and every grain of rice is separate. Serve immediately.";"Easy Fried Rice Recipe";"False";"Add frozen peas to the pan, and stir and toss until the peas are thawed and each grain of rice is separated. Serve right away."
"40_10";"what do I need to cook in?";"wok.";"Everything needs to be cooked in a wok.";"Add whole Sichuan peppercorns and both chilis to oil in wok and return to high heat. Cook until fragrant and peppercorns have stopped sputtering. Do not overcook, or they will burn. Immediately strain through a fine mesh strainer, discard peppercorns and chilies, and return oil to wok.";"The Best Vegan Mapo Tofu Recipe";"False";"To cook Sichuan peppercorns and chilis, use a wok and heat it to high heat. Allow the ingredients to cook until fragrant and the peppercorns stop sputtering, but be sure not to overcook them. Strain the mixture through a fine mesh strainer and discard the peppercorns and chilies before returning the oil to the wok."
"60_9";"what utensil should I use?";"spoon.";"In this step, you should use a large spoon to scoop the flesh and mash it.";"Once the kabocha squash is cool enough to handle, use a large spoon to scoop the flesh into a medium bowl and roughly mash with the back of the spoon. Discard squash skin. Season mashed squash with salt and pepper and set aside.";"Thanksgiving Stuffed Roast Pumpkins Recipe";"False";"To scoop the cooked kabocha squash, use a large spoon."
"69_22";"how long should I let it rest for?";"5 minutes.";"When the liquid is fully absorved, let the rice rest 5 minutes before serving.";"When the rice is perfectly cooked and the liquid is fully absorbed, remove from heat and let rest 5 minutes before serving with lemon wedges.";"Stovetop Paella Mixta for Two With Chicken and Shrimp Recipe";"False";"The cooked rice should rest for 5 minutes before serving."
"36_7";"which ingredient do I need to add to the hob?";"mushrooms.";"In this step, you need to add the mushrooms.";"Add mushrooms and cook, stirring, until lightly sautéed and fragrant, about 1 minute.";"Roman-Style Spaghetti Alla Carrettiera (Tomato, Tuna, and Mushroom Pasta) Recipe";"False";"Cook mushrooms in a pan, stirring occasionally, for 1 minute."
"47_5";"how many hours as a minimum should I marinate the pork?";"6 hours.";"Marinate the pork for at least 6 hours. The maximum is 24 hours.";"Place pork belly in a gallon zipper-lock bag or large baking dish and pour marinade over the meat. Toss to evenly distribute the marinade, then seal bag, removing as much air as possible (if using baking dish, wrap tightly with plastic wrap). Transfer to refrigerator, and marinate for at least 6 hours and up to 24 hours.";"Kilawin: Grilled Pork, Punchy Sauce, Can't Lose";"False";"Marinate the pork for a minimum of 6 hours in the refrigerator."
